id;ad_id;match_cites_parrot;match_common_parrot;mapping_match
409;526693_us;0;1;"10;125;271;272;278;298;308;336"
410;526690_us;0;1;"10;125;128;270;271;272;278;298;308"
411;526688_us;0;1;"10;125;128;270;271;272;278;298;308"
412;526687_us;0;1;"10;125;128;271;272;278;298;308"
413;526686_us;0;1;"10;125;271;272;278;298;308"
414;526612_us;0;1;"10;125;271;272;278;298;308"
415;526502_us;0;1;181
416;526490_us;0;1;"10;278;355"
417;526421_us;0;1;"70;123;128"
418;526244_us;0;1;"10;133;135;165;278;308;381"
419;526078_us;0;0;
420;525517_us;0;1;"10;135;165;278;308;381"
421;525516_us;0;1;"10;135;278;308"
422;525514_us;0;1;"10;135;165;278;308;381"
423;525513_us;0;1;"10;126;133;135;158;278;308;332;342"
424;525512_us;0;1;"10;133;135;165;241;278;308;332"
425;525511_us;0;1;"10;133;135;278;308;329;332"
426;525510_us;0;1;"10;133;278;308;332;355;374"
427;525509_us;0;1;"10;165;278;308"
428;525508_us;0;1;"10;115;125;133;271;272;278;298;308"
429;525507_us;0;1;"10;126;133;135;158;278;308;332"
430;525506_us;0;1;"10;133;278;308;332;355"
431;525296_us;0;1;"125;270;271;272;298"
432;525295_us;0;1;"10;125;270;271;272;278;298;308"
433;525261_us;0;1;"83;125;270;271;272;298"
434;525169_us;0;0;
435;525038_us;0;0;
436;525037_us;0;1;"10;278;308"
437;525036_us;0;1;"10;278;308;355"
438;525035_us;0;1;"10;135;278;308;329"
439;525034_us;0;0;
440;525030_us;0;1;"8;105"
441;525029_us;0;1;"10;125;271;272;278;298;308"
442;524650_us;0;1;"8;10;105;115;278;355"
443;524333_us;0;1;"10;125;181;271;272;278;298;308"
444;524332_us;0;1;"181;355"
445;523760_us;0;1;"10;125;270;271;272;278;298;308"
446;523721_us;0;1;"125;271;298"
447;523603_us;0;1;"135;165;381"
448;523522_us;0;1;"125;271;272;298"
449;523484_us;0;1;"135;165;381"
450;523482_us;0;1;355
451;523481_us;0;1;"10;135;165;278;308;381"
452;523457_us;0;1;"10;83;125;181;271;272;278;298;308;332"
453;523406_us;0;1;"10;125;271;272;278;298;308"
454;523338_us;0;1;"5;10;83;115;135;278;332;336"
455;523333_us;0;1;"10;125;181;271;272;278;298;308"
456;523323_us;0;1;"10;181;278;308;336;355"
457;523283_us;0;1;"135;165;381"
458;522491_us;0;1;"10;115;164;278;308"
459;522418_us;0;1;"135;165;381"
460;522372_us;0;1;"10;135;165;278;308;381"
461;522188_us;0;1;"10;115;125;245;271;272;278;298"
462;522128_us;0;1;"10;115;125;271;272;278;298;308;332;336"
463;521950_us;0;1;"10;115;125;271;272;278;298"
464;521896_us;0;1;"133;175;311"
465;521863_us;0;1;"128;171;332"
466;521570_us;0;1;"10;77;115;128;135;165;278;308"
467;521530_us;0;1;"10;77;115;125;133;271;272;278;298"
468;521517_us;0;1;"135;165;381"
469;521503_us;0;1;"10;125;270;271;278;298;308"
470;521502_us;0;1;"10;125;271;272;278;298;308;311"
471;521501_us;0;1;"10;125;271;272;278;298;308"
472;521488_us;0;1;"10;83;135;165;278;308;332;381"
473;521487_us;0;1;"10;125;270;271;272;278;298;308"
474;521486_us;0;1;"125;270;271;272;298;332"
475;521413_us;0;1;"10;115;125;270;271;272;278;298;308"
476;521412_us;0;1;"10;115;125;271;272;278;298"
477;521411_us;0;1;"10;115;125;181;271;272;278;298;308"
478;521410_us;0;1;"10;115;125;271;272;278;298;308"
479;521408_us;0;1;"5;10;77;115;125;128;135;271;272;278;298;308"
480;521337_us;0;1;"10;134;135;150;175;219;278;308;311"
481;521336_us;0;0;
482;521335_us;0;1;"125;133;271;298;336;355"
483;521334_us;0;1;"10;83;278;308;355;371"
484;521333_us;0;1;"10;83;278;308;355"
485;521332_us;0;1;"10;125;271;272;278;298;308"
486;521237_us;0;1;"10;125;135;165;270;271;272;278;298;308;329;381"
487;521232_us;0;1;"10;278;308"
488;521230_us;0;1;"10;125;135;165;270;271;272;278;298;308;329;381"
489;521123_us;0;1;"10;83;115;125;133;271;272;278;298;308;336"
490;521122_us;0;1;"10;83;115;125;133;271;272;278;298;308;336"
491;520943_us;0;1;"10;135;165;278;308;329;336;381"
492;520823_us;0;1;"10;125;164;271;272;278;298;308"
493;520781_us;0;1;"10;125;164;271;272;278;298;308"
494;520769_us;0;1;"10;125;164;271;272;278;298;308"
495;520399_us;0;1;"10;181;278;308;311;336;355"
496;520368_us;0;1;"10;115;278"
497;520366_us;0;1;"10;83;125;128;271;272;278;298;308"
498;520361_us;0;0;
499;520034_us;0;0;
500;520029_us;0;1;"10;83;125;270;271;272;278;298;308"
501;519959_us;0;1;"125;271;272;298"
502;519958_us;0;1;"10;125;271;272;278;298"
503;519949_us;0;1;"10;125;181;271;272;278;298;308"
504;519919_us;0;1;"10;83;115;135;165;175;278;332;381"
505;519918_us;0;1;"5;83;175;311;355"
506;519917_us;0;1;"5;83;175;311;336;355;364"
507;519914_us;0;1;"5;131;165;311"
508;519723_us;0;1;"10;115;125;135;271;272;278;298;308;336;355"
509;519577_us;0;1;"10;83;125;133;270;271;272;278;298;308"
510;519576_us;0;1;"10;83;125;133;270;271;272;278;298;308"
511;519575_us;0;1;"10;83;125;133;270;271;272;278;298;308"
512;519574_us;0;1;"10;83;125;133;270;271;272;278;298;308"
513;519573_us;0;1;"10;83;125;133;270;271;272;278;298;308"
514;519572_us;0;1;"10;83;125;133;270;271;272;278;298;308"
515;519571_us;0;1;"10;83;125;133;270;271;272;278;298;308"
516;519570_us;0;1;"10;83;125;133;270;271;272;278;298;308"
517;519569_us;0;1;"10;83;125;133;270;271;272;278;298;308"
518;519568_us;0;1;"10;83;125;133;270;271;272;278;298;308"
519;519567_us;0;1;"10;83;125;133;270;271;272;278;298;308"
520;519566_us;0;1;"10;83;125;133;270;271;272;278;298;308"
